poem_title,section,slug,path,versions,author_lines,viewport_width,content_width,font_size,font_family,automatic_wraps,affected_lines,affected_line_share,wrap_free
Утопия,different,utopia,/different/utopia,6,143,536,500,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Утопия,different,utopia,/different/utopia,6,143,536,500,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Утопия,different,utopia,/different/utopia,6,143,760,724,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Утопия,different,utopia,/different/utopia,6,143,760,724,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Утопия,different,utopia,/different/utopia,6,143,760,724,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,320,284,18,"""Times New Roman"", Times, serif",33,33,0.458333,false
Пытки,different,torture,/different/torture,2,72,320,284,17,"""Times New Roman"", Times, serif",22,22,0.305556,false
Пытки,different,torture,/different/torture,2,72,320,284,16,"""Times New Roman"", Times, serif",14,14,0.194444,false
Пытки,different,torture,/different/torture,2,72,360,324,18,"""Times New Roman"", Times, serif",13,13,0.180556,false
Пытки,different,torture,/different/torture,2,72,360,324,17,"""Times New Roman"", Times, serif",7,7,0.097222,false
Пытки,different,torture,/different/torture,2,72,360,324,16,"""Times New Roman"", Times, serif",4,4,0.055556,false
Пытки,different,torture,/different/torture,2,72,384,348,18,"""Times New Roman"", Times, serif",7,7,0.097222,false
Пытки,different,torture,/different/torture,2,72,384,348,17,"""Times New Roman"", Times, serif",4,4,0.055556,false
Пытки,different,torture,/different/torture,2,72,384,348,16,"""Times New Roman"", Times, serif",3,3,0.041667,false
Пытки,different,torture,/different/torture,2,72,390,354,18,"""Times New Roman"", Times, serif",6,6,0.083333,false
Пытки,different,torture,/different/torture,2,72,390,354,17,"""Times New Roman"", Times, serif",4,4,0.055556,false
Пытки,different,torture,/different/torture,2,72,390,354,16,"""Times New Roman"", Times, serif",2,2,0.027778,false
Пытки,different,torture,/different/torture,2,72,393,357,18,"""Times New Roman"", Times, serif",5,5,0.069444,false
